factory_id,process_id,equipment_id,equipment_name,material,routing_revision,so,gop,qty,total_cycle_avg,total_cycle_max,total_cycle_min,spindle_cycle_avg,spindle_cycle_max,spindle_cycle_min,idle_cycle_avg,idle_cycle_max,idle_cycle_min,start_time,stop_time,total_runtime
23,49,115,DMC60T#3,182A5604-4,A,D200608860,30,10,0.931,1.244,0.843,0.867,0.976,0.843,0.064,0.389,0.0,2022-04-26 18:48:45,2022-04-27 08:08:46,13.334
23,49,115,DMC60T#3,182A5604-4,A,D200608820,30,10,0.952,1.157,0.928,0.952,1.157,0.928,0.0,0.0,0.0,2022-04-27 08:09:42,2022-04-27 21:38:36,13.482
21,84,48,DMU 50 3rd Generation #2,114A7322-603,A,Y200159030,40,17,0.613,1.416,0.544,0.535,0.541,0.532,0.078,0.877,0.006,2022-04-26 21:34:06,2022-04-27 10:58:48,13.412
21,84,48,DMU 50 3rd Generation #2,114A7322-604,A,Y200159040,40,13,0.553,0.556,0.552,0.543,0.549,0.539,0.01,0.013,0.003,2022-04-27 10:59:11,2022-04-27 21:18:31,10.322
21,47,111,ECOSPEED F1040 #2,V5725351820200,A,D200600420,30,1,3.386,3.386,3.386,2.758,2.758,2.758,0.628,0.628,0.628,2022-04-27 15:40:54,2022-04-27 19:17:38,3.612
21,47,111,ECOSPEED F1040 #2,V5725352620000,A,D200623240,20,1,0.553,0.553,0.553,0.51,0.51,0.51,0.043,0.043,0.043,2022-04-27 14:08:51,2022-04-27 14:46:55,0.634
21,47,111,ECOSPEED F1040 #2,V5725352620000,A,D200623250,20,1,0.551,0.551,0.551,0.506,0.506,0.506,0.045,0.045,0.045,2022-04-27 13:17:08,2022-04-27 13:55:40,0.642
21,47,111,ECOSPEED F1040 #2,V5725352620000,A,D200623260,20,1,0.552,0.552,0.552,0.521,0.521,0.521,0.031,0.031,0.031,2022-04-27 11:23:15,2022-04-27 13:01:08,1.631
21,47,111,ECOSPEED F1040 #2,V5725352620100,A,D200623230,20,1,0.557,0.557,0.557,0.519,0.519,0.519,0.038,0.038,0.038,2022-04-27 14:56:13,2022-04-27 15:40:43,0.742
21,47,111,ECOSPEED F1040 #2,V5725416720200,A,D200600470,20,1,1.233,1.233,1.233,1.19,1.19,1.19,0.044,0.044,0.044,2022-04-27 08:39:15,2022-04-27 09:59:11,1.332
21,84,107,EVER 7,30P171610107-002A-K,A,D200595390,20,2,20.406,22.626,18.186,15.204,15.686,14.721,5.203,6.94,3.466,2022-04-25 14:06:00,2022-04-27 10:40:30,44.575
23,49,167,H5-800,181A3402-3,-,Y200179720,40,9,2.782,3.517,2.185,1.971,2.06,1.897,0.81,1.62,0.138,2022-04-27 02:54:31,2022-04-28 06:21:25,27.448
23,49,118,HU80A-5X,V5725305020600,A,D200594980,30,1,17.735,17.735,17.735,15.924,15.924,15.924,1.811,1.811,1.811,2022-04-26 15:34:24,2022-04-27 09:39:50,18.091
24,50,104,MC18200 #1,182T3104-6A,C,D200617120,30,8,1.814,2.22,1.534,1.521,1.838,1.319,0.293,0.517,0.031,2022-04-26 16:43:57,2022-04-27 14:06:25,21.374
24,50,104,MC18200 #1,182T3101-552A,B,D200617100,20,2,1.642,1.702,1.582,1.336,1.338,1.335,0.306,0.367,0.245,2022-04-27 14:07:16,2022-04-27 18:41:22,4.568
23,49,114,MP2150,F5724403320101,A,D200601890,10,1,0.491,0.491,0.491,0.281,0.281,0.281,0.21,0.21,0.21,2022-04-28 06:18:55,2022-04-28 07:10:40,0.862
23,49,114,MP2150,F5724403320101,A,D200601880,10,1,0.467,0.467,0.467,0.264,0.264,0.264,0.203,0.203,0.203,2022-04-28 05:26:23,2022-04-28 06:18:45,0.873
23,49,114,MP2150,F5724403320001,A,D200601950,10,1,0.462,0.462,0.462,0.306,0.306,0.306,0.156,0.156,0.156,2022-04-28 04:10:09,2022-04-28 05:25:43,1.259
23,49,114,MP2150,F5724403320001,A,D200601940,10,1,0.434,0.434,0.434,0.282,0.282,0.282,0.152,0.152,0.152,2022-04-28 02:04:03,2022-04-28 04:09:51,2.097
23,49,114,MP2150,F5724403320001,A,D200601930,10,1,0.465,0.465,0.465,0.263,0.263,0.263,0.202,0.202,0.202,2022-04-28 00:57:35,2022-04-28 02:03:33,1.099
23,49,114,MP2150,112W2206-2,A,D200608410,20,2,4.64,4.837,4.444,4.02,4.022,4.019,0.62,0.815,0.425,2022-04-26 06:56:02,2022-04-27 21:31:57,38.599
23,49,116,MYNX500#1,182A1505-756,A,D200607940,10,31,0.301,0.32,0.29,0.301,0.32,0.285,0.001,0.01,0.0,2022-04-27 04:05:51,2022-04-27 18:15:18,14.158
24,50,103,SB-416,D572-40285-203,A,D200613430,10,1,0.224,0.224,0.224,0.201,0.201,0.201,0.023,0.023,0.023,2022-04-27 21:05:26,2022-04-27 21:27:07,0.361
24,50,103,SB-416,D572-40285-203,A,D200613420,10,1,0.225,0.225,0.225,0.18,0.18,0.18,0.045,0.045,0.045,2022-04-27 20:34:13,2022-04-27 21:05:17,0.518
24,50,103,SB-416,D572-40285-203,A,D200613410,10,1,0.225,0.225,0.225,0.194,0.194,0.194,0.031,0.031,0.031,2022-04-27 20:16:23,2022-04-27 20:34:04,0.295
24,50,103,SB-416,D572-40285-203,A,D200613440,10,1,0.229,0.229,0.229,0.197,0.197,0.197,0.032,0.032,0.032,2022-04-27 21:27:17,2022-04-27 21:47:47,0.342
24,50,103,SB-416,D572-40285-203,A,D200613400,10,1,0.223,0.223,0.223,0.19,0.19,0.19,0.033,0.033,0.033,2022-04-27 19:50:36,2022-04-27 20:16:18,0.428
24,50,103,SB-416,D572-40285-203,A,D200613360,10,4,0.229,0.241,0.223,0.184,0.188,0.18,0.046,0.061,0.035,2022-04-27 18:23:16,2022-04-27 19:50:28,1.453
24,50,103,SB-416,D572-40285-203,A,D200613350,10,2,0.241,0.242,0.24,0.192,0.204,0.179,0.05,0.061,0.038,2022-04-27 17:38:45,2022-04-27 18:22:47,0.734
24,50,103,SB-416,D572-40284-203,A,D200614010,20,1,0.566,0.566,0.566,0.468,0.468,0.468,0.098,0.098,0.098,2022-04-28 03:28:33,2022-04-28 04:10:23,0.697
24,50,103,SB-416,D572-40284-203,A,D200614000,20,1,0.554,0.554,0.554,0.467,0.467,0.467,0.088,0.088,0.088,2022-04-28 04:10:35,2022-04-28 05:46:36,1.6
24,50,103,SB-416,D572-40293-203,A,D200615580,10,4,0.241,0.246,0.235,0.217,0.229,0.209,0.024,0.032,0.016,2022-04-27 14:31:33,2022-04-27 15:55:59,1.407
24,50,103,SB-416,D572-40284-203,A,D200613980,20,1,0.513,0.513,0.513,0.474,0.474,0.474,0.039,0.039,0.039,2022-04-28 02:36:03,2022-04-28 03:28:24,0.872
24,50,103,SB-416,D572-40284-203,A,D200613970,20,1,0.725,0.725,0.725,0.443,0.443,0.443,0.282,0.282,0.282,2022-04-27 23:10:31,2022-04-28 01:13:33,2.051
24,50,103,SB-416,D572-40284-203,A,D200613960,20,1,0.516,0.516,0.516,0.463,0.463,0.463,0.052,0.052,0.052,2022-04-28 01:13:49,2022-04-28 01:52:52,0.651
24,50,103,SB-416,D572-40284-203,A,D200613950,20,1,1.158,1.158,1.158,0.443,0.443,0.443,0.715,0.715,0.715,2022-04-27 07:11:27,2022-04-27 09:16:50,2.09
24,50,103,SB-416,D572-40284-203,A,D200613940,20,1,0.616,0.616,0.616,0.456,0.456,0.456,0.16,0.16,0.16,2022-04-27 22:27:09,2022-04-27 23:10:23,0.721
24,50,103,SB-416,D572-40293-203,A,D200615500,10,4,0.244,0.246,0.242,0.219,0.227,0.207,0.025,0.037,0.019,2022-04-27 11:05:02,2022-04-27 13:08:21,2.055
24,50,103,SB-416,D572-40293-203,A,D200615540,10,4,0.239,0.246,0.223,0.211,0.214,0.209,0.027,0.033,0.014,2022-04-27 13:08:40,2022-04-27 14:31:17,1.377
24,50,103,SB-416,D572-40285-203,A,D200613450,10,1,0.225,0.225,0.225,0.185,0.185,0.185,0.04,0.04,0.04,2022-04-27 21:47:55,2022-04-27 22:27:00,0.651
24,50,103,SB-416,D572-40293-203,A,D200615620,10,4,0.244,0.245,0.242,0.206,0.214,0.203,0.037,0.041,0.031,2022-04-27 15:56:29,2022-04-27 17:38:32,1.701
24,50,103,SB-416,D572-40284-203,A,D200613990,20,1,0.523,0.523,0.523,0.471,0.471,0.471,0.052,0.052,0.052,2022-04-28 01:53:01,2022-04-28 02:35:53,0.714
24,50,103,SB-416,D572-40293-203,A,D200615420,10,4,0.267,0.337,0.243,0.216,0.226,0.205,0.05,0.127,0.018,2022-04-27 09:17:03,2022-04-27 11:04:46,1.795
21,47,108,SNK RB-200F(2060),116W3104-27,A,D200594770,20,2,3.121,3.211,3.031,2.456,2.481,2.43,0.666,0.73,0.602,2022-04-27 18:00:04,2022-04-28 01:32:56,7.548
21,47,108,SNK RB-200F(2060),116W3104-28,A,D200594790,20,2,3.312,4.057,2.567,2.522,2.733,2.31,0.79,1.324,0.257,2022-04-27 09:59:09,2022-04-27 17:30:30,7.522
23,49,119,VMP8-6P,172A1006-4,A,D200594350,50,2,1.135,1.137,1.133,1.118,1.119,1.118,0.016,0.018,0.015,2022-04-27 11:47:26,2022-04-27 14:33:44,2.772
23,49,119,VMP8-6P,172A1006-4,A,D200594300,50,1,1.129,1.129,1.129,1.112,1.112,1.112,0.017,0.017,0.017,2022-04-27 09:59:33,2022-04-27 11:46:02,1.775
23,49,119,VMP8-6P,172A1006-4,A,D200594360,50,1,1.13,1.13,1.13,1.121,1.121,1.121,0.009,0.009,0.009,2022-04-27 07:28:33,2022-04-27 09:59:06,2.509
23,49,119,VMP8-6P,A81063320-03,B,D200609680,20,1,9.525,9.525,9.525,4.363,4.363,4.363,5.162,5.162,5.162,2022-04-27 16:21:34,2022-04-28 02:36:23,10.247
